id,requirement,label,validated_label,is_correct,reason,kept_after_dedup
0,I need a buy X get Y free but I need to control what product gets the discount if people add more than those 2 products.,buy_x_get_y,buy_x_get_y,True,"The promotion explicitly ties the reward to buying X to get Y free, with control over the discounted product.",True
1,Customer gets a free headband where they can choose the color when they reach $75 in the cart.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
2,Buy 2 extra 15% OFF & Buy 3 extra 25% OFF from collections (all).,tiered_discount,tiered_discount,True,The promotion has two distinct tiers with different discount levels based on quantity thresholds.,True
3,Get 15% off on one item.,free_gift,unsupported,False,"The promotion offers a discount on one item, which does not qualify as a free gift or any other valid intent.",True
4,Customers receive a free gift when they spend $75 or more. The offer appears on cart/checkout and automatically adds the gift to cart with selectable variants.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
5,"BOGO on End of Season Sale collection. Items already 55% off. Buy 1 at 55% off, get the 2nd for $10 (lowest priced item fixed to $10).",buy_x_get_y,buy_x_get_y,True,"The promotion ties the reward to buying X to get Y at a fixed price, which matches the buy_x_get_y intent.",True
6,"Buy 3, get the cheapest one free.",buy_x_get_y,buy_x_get_y,True,"The promotion ties the reward to buying X to get Y free, which matches the buy_x_get_y intent.",True
7,"Spend $50 get 1 free clearance item, $75 get 2, $100 get 3, $125 get 4, $150 get 5. Cart value from all products but free items from clearance collection.",tiered_discount,tiered_discount,True,"The promotion has multiple spend tiers with different rewards, qualifying as a tiered_discount.",True
8,"Tiered rewards with code 'paypal': $250 free shipping, $500 $50 off + free shipping, $1000 $100 off + free shipping + free product automatically added. Non-stacking.",tiered_discount,unsupported,False,"The promotion involves free shipping and coupon codes, which are unsupported intents.",True
9,Spend RM80 and above to get 5 free items.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
10,Offer a free wash mitt when customers spend more than $200.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
11,Promotion accessible only via a special link with 10% discount on a selected collection.,unsupported,unsupported,True,"The promotion involves a special link and coupon codes, which are unsupported intents.",True
12,Free shipping at $99 and free gift at $119.,free_gift,unsupported,False,"The promotion includes free shipping, which is an unsupported intent.",True
13,Spend $250 or more and get two spa headwraps and a sticker.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
14,"Spend $400 get free gift MT52, spend $600 get MT52 + MT75.",tiered_discount,tiered_discount,True,"The promotion has multiple spend tiers with different rewards, qualifying as a tiered_discount.",True
15,"Spend $100 get 20% off, spend $200 get a free liquid foundation.",tiered_discount,tiered_discount,True,"The promotion has two distinct spend tiers with different rewards, qualifying as a tiered_discount.",True
16,Customers who spend more than 50€ receive product 10432325058826 automatically added as a gift.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
17,"When applying a discount code, a product named 'mystery gift' is added.",unsupported,unsupported,True,"The promotion involves a discount code, which is an unsupported intent.",True
18,New users enter a specific code and a free gift is automatically added. Multiple codes should trigger the same action.,unsupported,unsupported,True,"The promotion involves coupon codes and is tied to new users, which are unsupported intents.",True
19,"Trade fair offer with free gifts for orders above $1000, $1500, and $2000.",tiered_discount,tiered_discount,True,"The promotion has multiple spend tiers with different rewards, qualifying as a tiered_discount.",True
20,Get 20% off Final Fantasy VII Rebirth with code FFVII.,unsupported,unsupported,True,"The promotion involves a discount code, which is an unsupported intent.",True
21,"Buy 1 for $20 get 1 free for shirts in one collection, and BOGO for socks in another collection.",buy_x_get_y,buy_x_get_y,True,"The promotion ties the reward to buying X to get Y free or discounted, which matches the buy_x_get_y intent.",True
22,Free water bottle with a discount code.,unsupported,unsupported,True,"The promotion involves a discount code, which is an unsupported intent.",True
23,Gift card code gives a free bag of coffee and free shipping (code: freecoffee2026).,unsupported,unsupported,True,"The promotion involves a gift card code, which is an unsupported intent.",True
24,30% off archive shoe collection.,unsupported,unsupported,True,"The promotion involves a flat discount on a collection, which is an unsupported intent.",True
25,15% discount code for selected customers on all items and an additional free item if cart exceeds 75€.,tiered_discount,unsupported,False,"The promotion involves a discount code, which is an unsupported intent.",True
26,Spend $150 and get a free scrunchy.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
27,20% off order but exclude specific products.,unsupported,unsupported,True,"The promotion involves exclusions, which are unsupported intents.",True
28,Orders over £50 get Biotin as free gift. Orders over £100 can choose between two products. Gift should be removed if cart drops below threshold.,tiered_discount,tiered_discount,True,"The promotion has multiple spend tiers with different rewards, qualifying as a tiered_discount.",True
29,Free gift when purchasing certain products.,free_gift,free_gift,True,The reward is a free physical item triggered by purchasing certain products without requiring a specific purchase mechanic.,True
30,25% off wine plus free shipping.,unsupported,unsupported,True,"The promotion involves free shipping, which is an unsupported intent.",True
31,Free gift on orders over $75 with manual claim so customer can choose size.,free_gift,free_gift,True,The reward is a free physical item triggered by a spend threshold without requiring a specific purchase mechanic.,True
32,"When someone buys a product above €2150 in a specific category, they get a free service product.",buy_x_get_y,buy_x_get_y,True,"The promotion ties the reward to buying X to get Y free, which matches the buy_x_get_y intent.",True
33,"Buy 2 items get 3% off, buy 3 items get 7% off.",tiered_discount,tiered_discount,True,"The promotion has two distinct quantity tiers with different discount levels, qualifying as a tiered_discount.",True
